web-scraper-order,web-scraper-start-url,vetements_enfants,vetements_enfants-href,type_clothes,price,address,image_link-src
"1732707641-31","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Jolies robes en wax","https://sn.coinafrique.com/annonce/vetements-enfants/jolies-robes-en-wax-1011524","Jolies robes en wax","8 000 CFA","Sénégal",""
"1732707648-32","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe brodée enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-brodee-enfant-1011523","Robe brodée enfant","12 000 CFA","Sénégal","https://images.coinafrique.com/thumb_4667136_uploaded_image1_1711814665.jpg"
"1732707654-33","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robes toute mimi pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/robes-toute-mimi-pour-enfants-1011525","Robes toute mimi pour enfants","10 000 CFA","Sénégal",""
"1732707660-34","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Joggings filles","https://sn.coinafrique.com/annonce/vetements-enfants/joggings-filles-760586","Joggings filles","3 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1732707667-35","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-760595","Robe enfant","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3125619_uploaded_image1_1621534794.jpg"
"1732707673-36","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe avec petite traîne","https://sn.coinafrique.com/annonce/vetements-enfants/robe-avec-petite-traine-760597","Robe avec petite traîne","12 000 CFA","Ouakam, Dakar, Sénégal",""
"1732707680-37","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Ensemble fille","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-fille-760599","Ensemble fille","8 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1468335_uploaded_image1_1578834783.45.png"
"1732707686-38","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Ensemble chic pour bébé","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-chic-pour-bebe-760600","Ensemble chic pour bébé","10 000 CFA","Ouakam, Dakar, Sénégal",""
"1732707693-39","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe avec sacoche","https://sn.coinafrique.com/annonce/vetements-enfants/robe-avec-sacoche-760606","Robe avec sacoche","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1174277_uploaded_image1_1573245424.6.png"
"1732707699-40","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-762906","Vêtements enfants","Prix sur demande","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg"
"1732707705-41","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Djellaba Enfant","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfant-765637","Djellaba Enfant","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_765640_uploaded_image1_1563665850.78.png"
"1732707712-42","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Djellaba Enfant","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfant-765640","Djellaba Enfant","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_765637_uploaded_image1_1563665776.21.png"
"1732707718-43","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-765642","Vêtements enfant","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg"
