type_clothes,price,adress,image_link
Ensemble,5000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4659695_uploaded_image1_1711411505.jpg
Vêtements,5000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4659699_uploaded_image1_1711411751.jpg
Ensemble,5000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4659694_uploaded_image1_1711411367.jpg
Pantalons,6000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4659691_uploaded_image1_1711411286.jpg
Robe,7000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4653806_uploaded_image1_1711066086.jpg
Djellaba,6000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651640_uploaded_image1_1710950622.jpg
Ensemble,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651598_uploaded_image1_1710949536.jpg
Vetements,10000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4645364_uploaded_image1_1710623336.jpg
Djellaba,13000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4645145_uploaded_image1_1710608095.jpg
Ensemble,13000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4643810_uploaded_image1_1710528700.jpg
Robe,5000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686601_uploaded_image1_1712843423.jpg
Robe,4000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686597_uploaded_image1_1712843301.jpg
Vêtements,3000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686588_uploaded_image1_1712843043.jpg
Vêtements,1700,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686576_uploaded_image1_1712842903.jpg
Vêtements,1500,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686563_uploaded_image1_1712842706.jpg
Djellaba,18000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4639600_uploaded_image1_1710311876.jpg
Djellaba,15000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4639590_uploaded_image1_1710311581.jpg
Vêtements,9500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg
Djellaba,20000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4676613_uploaded_image1_1712271072.jpg
Silip,2500,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4672209_uploaded_image1_1712088527.jpg
Pack,15000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4655936_uploaded_image1_1711198926.jpg
Djellaba,5000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608935_uploaded_image1_1708714886.jpg
