type_clothes,price,address,image_link-src
Haut-enfant,6 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_1061921_uploaded_image1_1571052396.32.png
Ensemble enfant,15 000 CFA,"M'bour, Sénégal",https://images.coinafrique.com/thumb_4054351_uploaded_image1_1673991497.jpg
Djellaba - enfant,5 000 CFA,"Touba, Sénégal",https://images.coinafrique.com/thumb_765640_uploaded_image1_1563665850.78.png
Vêtements Enfant,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg
Vêtements enfant,5 000 CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg
Maillots de bain,7 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1118621_uploaded_image1_1573389584.27.png
Vêtements,Prix sur demande,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg
Pull-over enfant,15 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1020573_uploaded_image1_1570128555.58.png
Ensemble enfant,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg
Vêtements enfant,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg
Ensemble enfant,10 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5010327_uploaded_image1_1729813849.jpg
Ensemble enfants,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg
Habits,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3785558_uploaded_image1_1657883008.jpg
Habits,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3785558_uploaded_image1_1657883008.jpg
Vêtements enfants,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg
Habit,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3785558_uploaded_image1_1657883008.jpg
Robes pour enfants,10 000 CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_1021961_uploaded_image1_1570172652.67.png
