type_shoes,price,adress,image_link
Chaussures,2000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4187241_uploaded_image1_1682255769.jpg
Chaussures,Prixsurdemande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4187188_uploaded_image1_1682250705.jpg
Chaussures,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4136187_uploaded_image1_1678918009.jpg
Ballerines,7500,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4175703_uploaded_image1_1681413005.jpg
Chaussures,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4124281_uploaded_image1_1678211049.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4140244_uploaded_image1_1679226845.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4140242_uploaded_image1_1679226795.jpg
Crampons,12000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4101596_uploaded_image1_1676845748.jpg
Chaussures,2000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4139946_uploaded_image1_1679215303.jpg
Chaussures,2000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4139937_uploaded_image1_1679215240.jpg
Chaussures,2000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4139933_uploaded_image1_1679181631.jpg
Chaussures,12000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4111498_uploaded_image1_1677508687.jpg
Bottes,13000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4110432_uploaded_image1_1677428890.jpg
Baskets,20000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4096757_uploaded_image1_1676513509.jpg
Chaussures,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4050259_uploaded_image1_1673728537.jpg
Chaussures,5500,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4059363_uploaded_image1_1674301059.jpg
Chaussures,5500,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4059370_uploaded_image1_1674301238.jpg
Chaussures,5500,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4059365_uploaded_image1_1674301160.jpg
Chaussures,20000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4081818_uploaded_image1_1675653272.jpg
Chaussures,10000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4028219_uploaded_image1_1672405449.jpg
Pantoufles,7000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4060976_uploaded_image1_1674416715.jpg
Chaussures,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4019759_uploaded_image1_1671731981.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4040305_uploaded_image2_1673193273.jpeg
Chaussure,7500,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4040246_uploaded_image1_1673189828.jpg
Chaussures,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4038506_uploaded_image1_1673066961.jpg
Chaussures,6000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4038403_uploaded_image1_1673050094.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4002035_uploaded_image1_1670608928.jpg
Chaussures,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4024385_uploaded_image1_1672137859.jpg
Chaussures,15000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4002819_uploaded_image1_1670672099.jpg
Chaussures,7000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4000084_uploaded_image1_1670513545.jpg
Baskets,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4000080_uploaded_image3_1670513440.jpeg
Baskets,20000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3958985_uploaded_image1_1668074060.jpg
Chaussures,20000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3934730_uploaded_image1_1666662380.jpg
Chaussure,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3920803_uploaded_image1_1665775387.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3897399_uploaded_image1_1664399172.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3897395_uploaded_image1_1664399089.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3895663_uploaded_image1_1664298673.jpg
Chaussures,3000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3874877_uploaded_image1_1662993378.jpg
Chaussures,3000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3874870_uploaded_image1_1662993234.jpg
Chaussures,Prixsurdemande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3887647_uploaded_image1_1663793770.jpg
Chaussures,15000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3886285_uploaded_image1_1663727518.jpg
Chaussures,6000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3869546_uploaded_image1_1662655575.jpg
Chaussures,3000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3853482_uploaded_image1_1661882915.jpg
Chaussures,2500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3853480_uploaded_image1_1661882766.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3851925_uploaded_image1_1661800790.jpg
Baskets,12000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3848408_uploaded_image1_1661541004.jpg
Chaussures,5000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3804708_uploaded_image1_1659095376.jpg
Chaussures,10000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3824846_uploaded_image1_1660191219.jpg
Sandales,1500,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3778619_uploaded_image1_1657354885.jpg
Chaussures,7000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3777593_uploaded_image1_1657274825.jpg
Chaussures,7000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3777592_uploaded_image1_1657274783.jpg
Chaussures,12500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3771424_uploaded_image1_1656942212.jpg
Claquettes,1250,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3768510_uploaded_image1_1656771169.jpg
