type_clothes,price,adress,image_link
Pantalon,5000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961329_uploaded_image1_1727265707.jpg
Ensemble,5000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961339_uploaded_image1_1727265839.jpg
Ensemble,5500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961347_uploaded_image1_1727266023.jpg
Ensemble,5000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961354_uploaded_image1_1727266098.jpg
Pantalon,4000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961324_uploaded_image1_1727265600.jpg
T-shirts,2000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5005072_uploaded_image1_1729552152.jpg
Pantalons,7000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4960439_uploaded_image1_1727215770.jpg
Vêtements,5000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4960438_uploaded_image1_1727215689.jpg
T-shirts,5000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4960433_uploaded_image1_1727215491.jpg
Ensemble,Prixsurdemande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4997731_uploaded_image1_1729118095.jpg
Ensemble,Prixsurdemande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4997728_uploaded_image1_1729117994.jpg
Ensemble,35000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4997542_uploaded_image2_1729108754.jpeg
Vêtements,7000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4994460_uploaded_image1_1728984578.jpg
Ensemble,Prixsurdemande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4991870_uploaded_image1_1728850097.jpg
Ensemble,Prixsurdemande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4990863_uploaded_image1_1728778002.jpg
Ensemble,Prixsurdemande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4990862_uploaded_image1_1728777940.jpg
Abaya,7500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4987957_uploaded_image1_1728624109.jpg
Complet,13000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4987767_uploaded_image1_1728602707.jpg
Ensemble,5000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4985177_uploaded_image1_1728490366.jpg
Ensemble,5000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4985171_uploaded_image1_1728490161.jpg
T-shirts,15000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4983392_uploaded_image1_1728406853.jpg
Vestes,14000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4981707_uploaded_image1_1728330503.jpg
Jeans,25000,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4981641_uploaded_image1_1728326999.jpg
Baggys,20000,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4981640_uploaded_image2_1728326852.jpeg
Pantalon,7000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4980672_uploaded_image1_1728290459.jpg
Pantalon,8000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4934910_uploaded_image1_1725870178.jpg
Joggings,8000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4934896_uploaded_image1_1725869447.jpg
Jeans,8000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4934887_uploaded_image1_1725869296.jpg
T-shirts,10000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4974019_uploaded_image1_1727924585.jpg
Pull,20000,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4974011_uploaded_image1_1727922956.jpg
Pull,14000,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4974008_uploaded_image1_1727921936.jpg
Lacoste,7000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4930373_uploaded_image1_1725578305.jpg
T-shirts,5000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4973499_uploaded_image1_1727897366.jpg
Abaya,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4932581_uploaded_image2_1725710913.jpeg
Ensemble,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4927319_uploaded_image1_1725459480.jpg
Ensemble,20000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4970315_uploaded_image1_1727783793.jpg
T-shirts,4000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969333_uploaded_image1_1727734422.jpg
Short,4000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4925578_uploaded_image1_1725384528.jpg
chemise,8000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4968714_uploaded_image1_1727707756.jpg
Costumes,35000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4968391_uploaded_image1_1727697449.jpg
kimono,10000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4968329_uploaded_image1_1727695624.jpg
Ensemble,7000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4963797_uploaded_image1_1727380057.jpg
Pantalon,7000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4963767_uploaded_image1_1727377903.jpg
Pantalon,7000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4963765_uploaded_image1_1727377824.jpg
Lot,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4961750_uploaded_image1_1727279379.jpg
Vêtements,30000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4960122_uploaded_image1_1727202601.jpg
Vêtements,30000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4960116_uploaded_image1_1727202422.jpg
Vêtements,Prixsurdemande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4954564_uploaded_image1_1726904707.jpg
Vêtements,18500,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4954449_uploaded_image1_1726886933.jpg
Ensemble,45000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4953901_uploaded_image1_1726853607.jpg
Djellaba,10000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4953671_uploaded_image1_1726842317.jpg
Vêtements,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4953322_uploaded_image1_1726828595.jpg
Caleçons,13000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4951039_uploaded_image1_1726716809.jpg
Tunique,18500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4949115_uploaded_image1_1726606774.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4935741_uploaded_image1_1725901365.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4935746_uploaded_image1_1725901530.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4935734_uploaded_image1_1725901081.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4935732_uploaded_image1_1725901036.jpg
Pantalon,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4935721_uploaded_image1_1725900754.jpg
Pour,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4935723_uploaded_image1_1725900821.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4935718_uploaded_image1_1725900693.jpg
Polo,6500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4935729_uploaded_image1_1725900923.jpg
Polo,6500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4935708_uploaded_image1_1725900452.jpg
Chemise,6500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4909550_uploaded_image1_1724513302.jpg
Getzner,12000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942743_uploaded_image1_1726229198.jpg
T-shirt,5000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942741_uploaded_image1_1726229155.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942716_uploaded_image1_1726228729.jpg
Ensemble,160000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942704_uploaded_image1_1726228583.jpg
T-shirt,6500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942724_uploaded_image1_1726228813.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942710_uploaded_image1_1726228614.jpg
Culotte,6000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942725_uploaded_image1_1726228846.jpg
Chemise,6000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942713_uploaded_image1_1726228693.jpg
Jean,7000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942729_uploaded_image1_1726228909.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4902275_uploaded_image1_1724109867.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4902277_uploaded_image1_1724109919.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4902271_uploaded_image1_1724109778.jpg
Ensemble,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4902268_uploaded_image1_1724109660.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4899578_uploaded_image1_1723936185.jpg
Jean,7000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4899575_uploaded_image1_1723936087.jpg
T-shirt,3500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4899572_uploaded_image1_1723935970.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4924205_uploaded_image1_1725320196.jpg
Vetement,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4919075_uploaded_image1_1725059650.jpg
Chemise,6000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4924193_uploaded_image1_1725319996.jpg
T-shirt,4500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4919071_uploaded_image1_1725059510.jpg
Chemise,6000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4919074_uploaded_image1_1725059569.jpg
Ensemble,10000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4924189_uploaded_image1_1725319899.jpg
Vetement,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4919084_uploaded_image1_1725059885.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4919077_uploaded_image1_1725059718.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4919081_uploaded_image1_1725059822.jpg
