type_shoes,price,address,image_link-src
Baskets Nike Air,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061569_uploaded_image1_1732572616.jpg
Chaussures Puma,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2971180_uploaded_image1_1614267179.jpg
Baskets Adidas Topanga,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2328512_uploaded_image1_1592843736.jpg
Baskets Fila,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2328568_uploaded_image1_1592844132.jpg
Chaussures Mc Queen,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2328577_uploaded_image1_1592844206.jpg
Baskets Nike Air,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061569_uploaded_image1_1732572616.jpg
Chaussures Nike,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4774426_uploaded_image1_1717266824.jpg
Mocassins homme,,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4130424_uploaded_image1_1678564334.jpg
Chaussures homme,,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4986975_uploaded_image1_1728568504.jpg
Chaussures Vans,,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_2349765_uploaded_image1_1593168269.jpg
Chaussures Nike,,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4376689_uploaded_image1_1694698408.jpg
Chaussures,,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4376689_uploaded_image1_1694698408.jpg
Chaussures homme,,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3958997_uploaded_image1_1668074385.jpg
Wallabies homme,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4038294_uploaded_image1_1673043382.jpg
Chaussures homme,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5040993_uploaded_image1_1731455106.jpg
Chaussures homme Sebago,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2330311_uploaded_image1_1592868925.jpg
Mocassins Sebago,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3220762_uploaded_image1_1625921018.jpg
Chaussures homme Sebago,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2330311_uploaded_image1_1592868925.jpg
Adidas Yeezy,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3216212_uploaded_image1_1625724646.jpg
Wallabies,,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2474591_uploaded_image1_1595516743.jpg
Chaussures Timberland,,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2483462_uploaded_image1_1595711688.jpg
Chaussures homme,,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4705168_uploaded_image1_1713797424.jpg
Baskets Nike Presto,,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2331943_uploaded_image1_1592906238.jpg
Nike Presto,,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2331943_uploaded_image1_1592906238.jpg
Baskets Nike Presto,,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2331943_uploaded_image1_1592906238.jpg
Chaussure Alexander Mqueen,,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2331960_uploaded_image1_1592906384.jpg
Sandales Nike,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2345958_uploaded_image1_1593099804.jpg
Chaussures Nike,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4774426_uploaded_image1_1717266824.jpg
Chaussures Versace,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2332165_uploaded_image1_1592908462.jpg
Chaussures  homme,,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4674278_uploaded_image1_1712167618.jpg
Chaussures homme,,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4674278_uploaded_image1_1712167618.jpg
Sandales Nike  Apple,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2332542_uploaded_image1_1592911866.jpg
Chaussures Gucci,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2332623_uploaded_image1_1592912576.jpg
Chaussures orthopédiques,,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4662523_uploaded_image2_1711544961.jpeg
Sandales,,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4986015_uploaded_image1_1728527053.jpg
