type_shoes,price,adress,image_link
Chaussures,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4992124_uploaded_image1_1728861827.jpg
Tapettes,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4992111_uploaded_image1_1728861509.jpg
Tapettes,17500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4992098_uploaded_image1_1728860564.jpg
Tapettes,17500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4992100_uploaded_image1_1728860780.jpg
Tapettes,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4992103_uploaded_image1_1728861058.jpg
Sandale,30000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4989259_uploaded_image1_1728672859.jpg
Baskets,15000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5035383_uploaded_image1_1731158367.jpg
Baskets,15000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5035381_uploaded_image1_1731158223.jpg
Baskets,15000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5034410_uploaded_image1_1731091587.jpg
Baskets,15000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5028372_uploaded_image1_1730823615.jpg
Chaussures,Prixsurdemande,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5028319_uploaded_image1_1730822208.jpg
Chaussures,20000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5026877_uploaded_image1_1730750286.jpg
Chaussures,20000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5026875_uploaded_image1_1730750195.jpg
Baskets,30000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5026279_uploaded_image1_1730726813.jpg
Chaussures,Prixsurdemande,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5021636_uploaded_image1_1730472276.jpg
Baskets,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5020644_uploaded_image1_1730419748.jpg
Baskets,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5020639_uploaded_image1_1730419594.jpg
Baskets,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5020636_uploaded_image1_1730419393.jpg
Baskets,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976666_uploaded_image1_1728034701.jpg
Chausures,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976673_uploaded_image1_1728034836.jpg
Chaussures,27500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976646_uploaded_image1_1728034007.jpg
Chaussures,15000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976650_uploaded_image1_1728034138.jpg
Chaussures,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976636_uploaded_image1_1728033842.jpg
Chaussures,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976618_uploaded_image1_1728033398.jpg
Chaussures,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976607_uploaded_image1_1728033224.jpg
Chaussures,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976628_uploaded_image1_1728033522.jpg
Chaussures,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976602_uploaded_image1_1728033007.jpg
Chaussures,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976586_uploaded_image1_1728032700.jpg
Disponible,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976564_uploaded_image1_1728032007.jpg
Chaussures,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976572_uploaded_image1_1728032284.jpg
Chaussures,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976579_uploaded_image1_1728032434.jpg
Chaussures,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976559_uploaded_image1_1728031882.jpg
Chaussures,15000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5016589_uploaded_image1_1730219464.jpg
Chaussures,19000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5014599_uploaded_image1_1730115074.jpg
Sandales,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5013140_uploaded_image1_1730022468.jpg
Chaussures,17000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5010265_uploaded_image1_1729809474.jpg
Sabote,20000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4964734_uploaded_image1_1727443154.jpg
Baskets,30000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5007018_uploaded_image1_1729649148.jpg
Baskets,50000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5006926_uploaded_image1_1729638888.jpg
Baskets,15000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5005021_uploaded_image1_1729548444.jpg
Chaussures,35000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5005015_uploaded_image1_1729548074.jpg
Baskets,30000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5002850_uploaded_image1_1729434066.jpg
Chaussures,25000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5002380_uploaded_image1_1729385865.jpg
