web-scraper-order,web-scraper-start-url,chaussures_enfants,chaussures_enfants-href,type_shoes,price,address,image_link-src
"1732738427-41","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Ensemble talon","https://sn.coinafrique.com/annonce/chaussures-enfants/ensemble-talon-861833","Ensemble talon","15 000 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_861833_uploaded_image1_1566391948.31.png"
"1732738434-42","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-878800","Chaussures enfant","7 500 CFA","Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738440-43","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-878809","Chaussures enfant","7 500 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738447-44","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures pour enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-884530","Chaussures pour enfant","13 000 CFA","Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738453-45","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-892593","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738459-46","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-892611","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738466-47","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-892617","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738472-48","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-892623","Chaussures","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5037805_uploaded_image1_1731321094.jpg"
"1732738479-49","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfants","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-894185","Chaussures enfants","8 000 CFA","Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738485-50","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures Baskets","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-baskets-894226","Chaussures Baskets","15 000 CFA","Sénégal","https://images.coinafrique.com/thumb_4930603_uploaded_image1_1725607998.jpg"
