type_clothes,price,address,image_link-src
Ensemble complet,14 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3260796_uploaded_image1_1628026396.jpg
Ensemble homme,22 000 CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5048722_uploaded_image1_1731877991.jpg
Pantalon Kaki,10 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4570539_uploaded_image1_1706696022.93.jpeg
Pantalons jeans,10 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4570525_uploaded_image1_1706695359.21.jpeg
Ensemble Polo pantalon,18 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2853995_uploaded_image1_1609016669.jpg
Ensemble Polo,18 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2853995_uploaded_image1_1609016669.jpg
Ensemble polo + pantalon,18 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2853995_uploaded_image1_1609016669.jpg
Ensemble polo pantalon,18 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2853995_uploaded_image1_1609016669.jpg
Vêtements,Prix sur demande,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
T-shirt homme,3 500 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4717849_uploaded_image1_1714478046.02.jpeg
Vêtement homme,20 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Vêtements Homme,7 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Débardeur homme,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4515926_uploaded_image1_1703682502.jpg
Vêtements homme,10 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Tee-shirts en coton,2 000 CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3558228_uploaded_image1_1644268644.jpg
Vêtements homme,Prix sur demande,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Tee-shirts coton,2 000 CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3558228_uploaded_image1_1644268644.jpg
Tee-shirts,8 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3558228_uploaded_image1_1644268644.jpg
Jeans,Prix sur demande,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4529385_uploaded_image1_1704477658.jpg
Polo homme,7 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4744933_uploaded_image1_1715777764.2.jpeg
Vêtements homme,15 000 CFA,"Dahra, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Vestes blazers,30 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1574414_uploaded_image1_1580507854.47.png
Vêtements homme,15 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Vêtements homme,Prix sur demande,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Chemises homme,10 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5060988_uploaded_image1_1732548980.25.jpeg
Maillots NBA,8 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2370397_uploaded_image1_1593517371.jpg
Vestes blazers,25 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1574414_uploaded_image1_1580507854.47.png
Veste blazer,25 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1574414_uploaded_image1_1580507854.47.png
Ensemble homme,13 000 CFA,Sénégal,https://images.coinafrique.com/thumb_5028887_uploaded_image1_1730844645.jpg
T-shirt en coton,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3847524_uploaded_image1_1661507232.jpg
Tenues africaines hommes,27 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4278238_uploaded_image1_1688343588.jpg
Vêtements homme,21 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
