type_shoes,price,address,image_link-src
Chaussures enfant,,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures  enfant,,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures enfant,,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_2818578_uploaded_image1_1607458128.jpg
Bottes de pluie,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2306870_uploaded_image1_1592485025.jpg
Chaussures enfant,,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures enfant,,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg
Chaussures,,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg
Chaussures bébé,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4783650_uploaded_image2_1717719898.jpeg
Chaussures enfants,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures enfants,,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg
Chaussures bébé,,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2085293_uploaded_image1_1589039358.jpg
Chaussures enfant,,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623157_uploaded_image1_1709480174.jpg
Chaussures enfants,,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg
Chaussures enfant,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures talons / enfants,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2387260_uploaded_image1_1593777158.jpg
Chaussures Enfants,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures Enfants,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures enfant,,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3513868_uploaded_image1_1641563929.jpg
Chaussures Enfants,,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures pour filles,,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_2439527_uploaded_image1_1594751426.jpg
Chaussures enfants,,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4336733_uploaded_image1_1692136230.jpg
Chaussures enfant,,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4336733_uploaded_image1_1692136230.jpg
Chaussures enfants,,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4336733_uploaded_image1_1692136230.jpg
Chaussures enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures enfants,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures enfant,,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg
Chaussures enfant,,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg
Chaussures enfant,,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3934730_uploaded_image1_1666662380.jpg
Chaussures enfants,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Baskets Jordan,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4928088_uploaded_image1_1725487276.jpg
Chaussures enfants,,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg
Baskets Nike Air Max,,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_2526613_uploaded_image1_1596969629.jpg
Chaussures enfants,,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_2818578_uploaded_image1_1607458128.jpg
Chaussures enfant,,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4336733_uploaded_image1_1692136230.jpg
Chaussures Enfants,,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3336753_uploaded_image1_1631736848.jpg
Chaussures enfants,,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4422835_uploaded_image1_1697766757.jpg
Chaussures enfants,,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg
Chaussures enfant,,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg
Chaussures fille,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4783650_uploaded_image2_1717719898.jpeg
Chaussures garçons,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4783650_uploaded_image2_1717719898.jpeg
Chaussures garçon,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4783650_uploaded_image2_1717719898.jpeg
Chaussures enfants,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures enfants,,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4588141_uploaded_image1_1707596385.jpg
Chaussures enfant,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures Enfants,,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg
Chaussures Enfant,,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4656153_uploaded_image1_1711205088.jpg
Sandales Adidas Yeezy,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2717389_uploaded_image1_1603638267.jpg
Chaussures enfant,,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg
Chaussures pour enfants,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures bébé,,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_3106484_uploaded_image1_1620567535.jpg
Chaussures enfant,,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_2749342_uploaded_image1_1604925569.jpg
Chaussures Enfant,,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4588141_uploaded_image1_1707596385.jpg
Chaussures fille,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4783650_uploaded_image2_1717719898.jpeg
Chaussures enfant,,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3336753_uploaded_image1_1631736848.jpg
Chaussures enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures fille,,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3543253_uploaded_image1_1643397434.jpg
Chaussures enfant,,"Hann Bel-Air, Hann / Bel Air (Dakar), Sénégal",https://images.coinafrique.com/thumb_2747212_uploaded_image1_1604838947.jpg
Chaussures enfant,,"Kolda, Sénégal",https://images.coinafrique.com/thumb_2749776_uploaded_image1_1604935997.jpg
Chaussures enfant,,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3336753_uploaded_image1_1631736848.jpg
Chaussures enfant,,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3336753_uploaded_image1_1631736848.jpg
Chaussures de sport enfants,,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_2752149_uploaded_image1_1605019568.jpg
Claquettes enfant,,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2762753_uploaded_image1_1605397699.jpg
Chaussures  enfants,,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4680911_uploaded_image1_1712514020.jpg
Chaussures enfants,,"Ziguinchor, Sénégal",https://images.coinafrique.com/thumb_3047906_uploaded_image1_1617901111.jpg
Chaussures enfant,,"Ziguinchor, Sénégal",https://images.coinafrique.com/thumb_3047906_uploaded_image1_1617901111.jpg
Baskets Adidas,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3048378_uploaded_image1_1617915277.jpg
Claquettes enfants,,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2795343_uploaded_image1_1606666445.jpg
Chaussures garçons,,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_2795704_uploaded_image1_1606681411.jpg
Chaussures enfant,,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4656153_uploaded_image1_1711205088.jpg
Chaussures garçon,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4783650_uploaded_image2_1717719898.jpeg
Chaussures bébé,,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4783650_uploaded_image2_1717719898.jpeg
Baskets Nike,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4930603_uploaded_image1_1725607998.jpg
Chaussures friperie enfant,,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3222222_uploaded_image1_1626008303.jpg
Chaussures friperie - enfants,,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3222222_uploaded_image1_1626008303.jpg
Baskets Puma - Adidas,,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_2818578_uploaded_image1_1607458128.jpg
Chaussure enfants,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures pour enfants,,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4676405_uploaded_image1_1712262646.jpg
Chaussures garçons,,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2831294_uploaded_image1_1607984493.jpg
Baskets Nike pour enfants,,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2837971_uploaded_image1_1608232681.jpg
Chaussures enfant,,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4173847_uploaded_image1_1681305963.jpg
Chaussures enfants,,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4676405_uploaded_image1_1712262646.jpg
Chaussures enfant,,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4676405_uploaded_image1_1712262646.jpg
Chaussures enfant,,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3102441_uploaded_image1_1620372742.jpg
Chaussures enfants,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Baskets fille,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3848408_uploaded_image1_1661541004.jpg
